marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range,faixa_preco,faixa_preco_prevista,valor_estimado
Suzuki,Baleno,2005,123456.0,875000,Gasolina,Original,Nacional,Manual,2,5,Luxo,Luxo,681403.3241134752
Toyota,Corolla GLI,2014,125000.0,350000,Gasolina,Original,Nacional,Automatic,4,5,Premium,Premium,350855.0221465077
Hyundai,Santro,2005,1000.0,104000,Gasolina,Original,Nacional,Manual,2,1,Econômico,Econômico,149497.18328086744
Hyundai,Santro,2000,200000.0,690000,Gasolina,Original,Importado,Manual,1,7,Luxo,Luxo,681403.3241134752
Hyundai,Santro,2005,110000.0,780000,Gasolina,Original,Nacional,Manual,2,4,Luxo,Luxo,681403.3241134752
Toyota,Passo,2015,74000.0,275000,Gasolina,Original,Importado,Automatic,4,3,Intermediário,Intermediário,245657.07356430945
Honda,Civic Prosmetic,2013,156000.0,320000,Gasolina,Original,Nacional,Automatic,4,6,Premium,Premium,350855.0221465077
Daihatsu,Cuore,2006,180047.0,735000,Gasolina,Original,Importado,Manual,2,7,Luxo,Luxo,681403.3241134752
Suzuki,Ravi,2014,44000.0,620000,Gasolina,Original,Nacional,Manual,4,2,Luxo,Luxo,681403.3241134752
KIA,Picanto,2021,24000.0,320000,Gasolina,Original,Nacional,Automatic,6,1,Premium,Premium,350855.0221465077
Daihatsu,Move,2014,151000.0,205000,Gasolina,Original,Importado,Automatic,4,6,Intermediário,Intermediário,245657.07356430945
Honda,Civic Prosmetic,2010,145696.0,230000,Gasolina,Original,Nacional,Automatic,3,5,Intermediário,Intermediário,245657.07356430945
Suzuki,Alto,2006,242657.0,580000,Gasolina,Original,Nacional,Manual,2,10,Luxo,Luxo,681403.3241134752
Chevrolet,Exclusive,2005,100000.0,620000,Gasolina,Original,Importado,Manual,2,4,Luxo,Luxo,681403.3241134752
Toyota,Corolla XLI,2009,350000.0,190000,Gasolina,Original,Nacional,Manual,3,12,Econômico,Econômico,149497.18328086744
